,,,,,,,,
,,,,,,,,
 RATE,Item Group,Service Name,Online/Offline,Duration,Single Session (INR),INCLUDES,Short Description,Long Description
,Psychology & Mental Health,Initial Psychological Assessment,Both,60-90 min,"1,500",,Initial Psychological Assessment is a 60-90 min session available both under our Psychology & Mental Health services.,"Our Initial Psychological Assessment offers personalized support designed to enhance well-being within the area of Psychology & Mental Health. This 60-90 min session, available both, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Psychology & Mental Health,Individual Counselling Session,Both,45-60 min,2000,,Individual Counselling Session is a 45-60 min session available both under our Psychology & Mental Health services.,"Our Individual Counselling Session offers personalized support designed to enhance well-being within the area of Psychology & Mental Health. This 45-60 min session, available both, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Psychology & Mental Health,"Cognitive Behavioral Therapy
(CBT)",Both,45-60 min,2500,,"Cognitive Behavioral Therapy
(CBT) is a 45-60 min session available both under our Psychology & Mental Health services.","Our Cognitive Behavioral Therapy
(CBT) offers personalized support designed to enhance well-being within the area of Psychology & Mental Health. This 45-60 min session, available both, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Psychology & Mental Health,Mindfulnes s-Based Stress Reduction (MBSR),Both,45-60 min,1500,,Mindfulnes s-Based Stress Reduction (MBSR) is a 45-60 min session available both under our Psychology & Mental Health services.,"Our Mindfulnes s-Based Stress Reduction (MBSR) offers personalized support designed to enhance well-being within the area of Psychology & Mental Health. This 45-60 min session, available both, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Psychology & Mental Health,Depression Management Program,Both,60 min,2000,,"Depression Management Program is a 60 min session available both under our Psychology & Mental
Health services.","Our Depression Management Program offers personalized support designed to enhance well-being within the area of Psychology & Mental
Health. This 60 min session, available both, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Psychology & Mental Health,"Anxiety & Panic Disorder
Treatment",Both,60 min,2500,,"Anxiety & Panic Disorder
Treatment is a 60 min session available both under our Psychology & Mental Health services.","Our Anxiety & Panic Disorder
Treatment offers personalized support designed to enhance well-being within the area of Psychology & Mental Health. This 60 min session, available both, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Psychology & Mental Health,Couples Therapy,Both,60-90 min,3000,,"Couples Therapy is a 60-90 min session available both under our Psychology & Mental
Health services.","Our Couples Therapy offers personalized support designed to enhance well-being within the area of Psychology & Mental
Health. This 60-90 min session, available both, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Psychology & Mental Health,Family Therapy,Both,60-90 min,4000,,"Family Therapy is a 60-90 min session available both under our Psychology & Mental
Health services.","Our Family Therapy offers personalized support designed to enhance well-being within the area of Psychology & Mental
Health. This 60-90 min session, available both, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Psychology & Mental Health,Child & Adolescent Counselling,Both,45-60 min,2200,,Child & Adolescent Counselling is a 45-60 min session available both under our Psychology & Mental Health services.,"Our Child & Adolescent Counselling offers personalized support designed to enhance well-being within the area of Psychology & Mental Health. This 45-60 min session, available both, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
,Psychology & Mental Health,Grief and Loss Counselling,Both,60 min,2300,,Grief and Loss Counselling is a 60 min session available both under our Psychology & Mental Health services.,"Our Grief and Loss Counselling offers personalized support designed to enhance well-being within the area of Psychology & Mental Health. This 60 min session, available both, is structured to provide guidance, therapeutic tools, and practical strategies tailored to individual needs. Through a compassionate and professional approach, clients can explore challenges, gain clarity, and develop healthier coping mechanisms. The service is ideal for anyone seeking growth, healing, and improved mental resilience."
