Test Name,Test Amount
17-Oh-Progesteron,2000
24 Hrs Urinary Albumin,450
24 Hrs Urinary Calcium,275
24 Hrs Urinary Phosphorus,330
24 Hrs Urinary Protein,450
24 Hrs Urinary Uric Acid,275
24 Hrs. Urinary Vma,4125
24 Hrs. Urine Metanephrine,0.00
"25-OH VITAMIN D TOTAL, SERUM",2000
Abdominoperineal Resection,0.00
Absolute Neutrophil Count,200
Ace (Angiotensin Converting Enzyme),2000
"Achr Antibodies, Acetyl Choline Receptor Antibodies, Serum",3000
Acid Phosphatase Total,400
ADA ( Adenosine Deaminase ),700
Adenosine Deaminase Activity - Mtb ( Ada - Mtb ),0.00
Adequacy Test For Capd Fluid,0.00
Adrenocorticotropic Hormone ( Acth ),1950
AEC ( Absolute Eosinophil Count ),200
Afb Staining,200
Afb Staining (Zeil Nielson Stain) 3 Days Samples,600
Afb/Tb Culture - Fluorescent Method (Rapid -Mgit),1500
"Afp (Alpha Fetoprotein), Maternal",800
"Afp (Alpha Fetoprotein), Tumor Marker",0.00
Alberts Stain Report,450
ALBUMIN A/G RATIO,200
"Albumin, Serum",200
Albumin/Globulin Ratio,200
"Alcohol(Ethanol) Screen, Serum",2000
Aldehyde Chopra Test For Kala Azar,0.00
Aldolase,1000
Aldosterone,2400
"Aldosterone/Pra Ratio, Serum",0.00
Alkaline Phosphatase,150.00
"Allergen, Individual - Single Food",1400
Allergy Comprehensive Panel,2500
Allergy Food Panel -Vegetarian 12 Parameters,0.00
Allergy Food Panel- Vegetarian+ Non-Vegetarian 22 Parameters,0.00
Allergy Food Panel-Non Vegetarian,0.00
Allergy Panel - Food Vegetarian And Nonvegetarian Panel,0.00
"Allergy Panel - Food Vegetarians (Cow Milk, Lemon, Pineapple, Peanut, Potato, Wheat, Rice,Soyabean, ",0.00
Allergy Panel-Adult 25 Parameters,0.00
Allergy Panel-Respiratory(Asthma),0.00
Alpha Fetoprotein ( Afp ),800
Aluminium,2580
Amh (Anti Mullerian Hormone),2000
Ammonia,800
"Ammonia, Blood",0.00
"Amphetamine Screen, Urine",0.00
Amylase Fluid,650
"Amylase, Serum",600
ANA ( Anti Nuclear Antibodies ),800
Ana By Ifa,1200
Ana By Ifa With Titre,0.00
Ana NEW,750.00
Ana/Anf (Anti Nuclear Antibody/Factor) Profile,6000
"Ana/Anf (Anti Nuclear Antibody/Factor), Elisa",750.00
"Ana/Anf (Anti Nuclear Antibody/Factor), Ifa",0.00
"Ana/Anf (Anti Nuclear Antibody/Factor), Immunoblot 15 Antigens",0.00
"Ana/Anf (Anti Nuclear Antibody/Factor), Immunoblot 17 Antigens",0.00
Anca (Anti Neutrophil Cytoplasmic Antibodies) C,1500
Anca (Anti Neutrophil Cytoplasmic Antibodies) P,1500
Anca (Anti Neutrophil Cytoplasmic Antibodies) P & C,2000
"Anca (Antineutrophil Cytoplasmic Antibodies), Ifa",1500
Androgen Index,3200
Androsteindione Level,1500
Androstenedione (A4),2250
Angiotensin Converting Enzyme; Ace,1452
"Angiotensin Converting Enzyme; Ace, Csf",0.00
Anterior Resection,0.00
Anti Beta-2-Glycoprotein Antibodies (Igg And Igm),0.00
Anti Beta-2-Glycoprotein Antibodies (Igg),0.00
Anti Beta-2-Glycoprotein Antibodies (Igm),0.00
Anti Cardiolipin Antibodies ( Aca ),1540
Anti Cardiolipin Antibody - Iga,0.00
Anti Cardiolipin Antibody - Igg,0.00
Anti Cardiolipin Antibody - Igm,0.00
Anti D Titre,0.00
Anti Diuretic Hormone (Adh) / Vasopressin,0.00
Anti dS DNA,1650
Anti Ds Dna - Ifa With Titre,0.00
Anti Ds-Dna,0.00
Anti Ds-Dna - With Titre,0.00
Anti Hepatitis B Surface Antigen (Hbsag) Total,0.00
Anti Hepatitis B Virus Core Antibody Igm,0.00
ANTI HEPATITIS E VIRUS-lgM,1200.00
"Anti Lkm (Liver Kidney Microsomal) Antibodies, Eia",0.00
Anti Lkm Antibody,0.00
"Anti Mitochondrial Antibodies, Ama",0.00
Anti Mitochondrial Antibody,0.00
Anti Mullerian Hormone ( Amh ),2145
Anti Musk Antibody (Myasthenia Gravis),0.00
Anti Nmo Antibody,0.00
Anti Nuclear Antibody Ifa,200
Anti Phospholipid Antibodies (Igg & Igm),0.00
Anti Phospholipid Antibodies (Igg),825
Anti Phospholipid Antibodies (Igm),825
Anti Smooth Muscle Antibody (Asma) Screen - Ifa,0.00
Anti Sperm Antibodies Total (Asab),1540
Anti Ssa (Ro) Igg (Elisa),0.00
Anti Ssb (La) Igg (Elisa),0.00
Anti Thrombin (At Iii) Activity -Functional,4000
Anti Thyroglobulin Antibody (Atg),1800
Anti TPO,1150
Anti-Cyclic Citrullinated Peptide,1400
Antithyroid Antibodies Panel (Atg+Tpo),2600
