Test Name,Inferred FOCO Rate,Patient MRP,Method
24 Hrs. Urine Metanephrine,2000,2400.0,market:endocrine
Abdominoperineal Resection,2500,3000.0,market:histopath-large
Adenosine Deaminase Activity - Mtb ( Ada - Mtb ),750.0,900.0,market:default
Adequacy Test For Capd Fluid,400,480.0,market:fluid
"Afp (Alpha Fetoprotein), Tumor Marker",1000,1200.0,market:marker
Aldehyde Chopra Test For Kala Azar,750.0,900.0,market:default
"Aldosterone/Pra Ratio, Serum",2000,2400.0,market:endocrine
Allergy Food Panel -Vegetarian 12 Parameters,2500,3000.0,market:allergy-panel
Allergy Food Panel- Vegetarian+ Non-Vegetarian 22 Parameters,2500,3000.0,market:allergy-panel
Allergy Food Panel-Non Vegetarian,2500,3000.0,market:allergy-panel
Allergy Panel - Food Vegetarian And Nonvegetarian Panel,2500,3000.0,market:allergy-panel
"Allergy Panel - Food Vegetarians (Cow Milk, Lemon, Pineapple, Peanut, Potato, Wheat, Rice,Soyabean,",2500,3000.0,market:allergy-panel
Allergy Panel-Adult 25 Parameters,2500,3000.0,market:allergy-panel
Allergy Panel-Respiratory(Asthma),2500,3000.0,market:allergy-panel
"Ammonia, Blood",800.0,960.0,sheet:sibling
"Amphetamine Screen, Urine",1000,1200.0,market:drug-screen
Ana By Ifa With Titre,1200,1440.0,market:serology
"Ana/Anf (Anti Nuclear Antibody/Factor), Ifa",750.0,900.0,sheet:sibling
"Ana/Anf (Anti Nuclear Antibody/Factor), Immunoblot 15 Antigens",1200,1440.0,market:serology
"Ana/Anf (Anti Nuclear Antibody/Factor), Immunoblot 17 Antigens",1200,1440.0,market:serology
"Angiotensin Converting Enzyme; Ace, Csf",1452.0,1742.4,sheet:sibling
Anterior Resection,2500,3000.0,market:histopath-large
Anti Beta-2-Glycoprotein Antibodies (Igg And Igm),1200,1440.0,market:serology
Anti Beta-2-Glycoprotein Antibodies (Igg),1200,1440.0,market:serology
Anti Beta-2-Glycoprotein Antibodies (Igm),1200,1440.0,market:serology
Anti Cardiolipin Antibody - Iga,1200,1440.0,market:serology
Anti Cardiolipin Antibody - Igg,1200,1440.0,market:serology
Anti Cardiolipin Antibody - Igm,1200,1440.0,market:serology
Anti D Titre,1200,1440.0,market:serology
Anti Diuretic Hormone (Adh) / Vasopressin,2000,2400.0,market:endocrine
Anti Ds Dna - Ifa With Titre,1200,1440.0,market:serology
Anti Ds-Dna,1650.0,1980.0,sheet:sibling
Anti Ds-Dna - With Titre,1200,1440.0,market:serology
Anti Hepatitis B Surface Antigen (Hbsag) Total,1000,1200.0,market:marker
Anti Hepatitis B Virus Core Antibody Igm,1200,1440.0,market:serology
"Anti Lkm (Liver Kidney Microsomal) Antibodies, Eia",1200,1440.0,market:serology
Anti Lkm Antibody,1200,1440.0,market:serology
"Anti Mitochondrial Antibodies, Ama",1200,1440.0,market:serology
Anti Mitochondrial Antibody,1200,1440.0,market:serology
Anti Musk Antibody (Myasthenia Gravis),1200,1440.0,market:serology
Anti Nmo Antibody,1200,1440.0,market:serology
Anti Phospholipid Antibodies (Igg & Igm),825.0,990.0,sheet:sibling
Anti Smooth Muscle Antibody (Asma) Screen - Ifa,1200,1440.0,market:serology
Anti Ssa (Ro) Igg (Elisa),1200,1440.0,market:serology
Anti Ssb (La) Igg (Elisa),1200,1440.0,market:serology
"Apa-Igg Phospholipid Antibody, Serum",1200,1440.0,market:serology
"Apa-Igm Phospholipid Antibody, Serum",1200,1440.0,market:serology
Apolipoprotein,750.0,900.0,market:default
Ascitic Fluid Examination,400,480.0,market:fluid
"Asma , Smooth Muscle Antibody",1200,1440.0,market:serology
"Asma , Smooth Muscle Antibody Ifa",1200,1440.0,market:serology
Atopic Allergy Panel,2500,3000.0,market:allergy-panel
"Barbiturate Screen, Qualitative, Urine Spot",1000,1200.0,market:drug-screen
"Benzodiaepine Screen, Qualitative, Urine Spot",1000,1200.0,market:drug-screen
Beta 2 Microglobulin,750.0,900.0,market:default
"Beta 2 Microglobulin, Serum",750.0,900.0,market:default
Beta Thalassemia Mutation Detection - Blood (7 Common Mutations),3500,4200.0,market:molecular
Beta Thalassemia Screening,750.0,900.0,market:default
"Beta Thalassemia, Beta Globin (Hbb) Gene Sequencing",3500,4200.0,market:molecular
Bilateral Neck Dissection,2500,3000.0,market:histopath-large
